1000	50	3	0.2	0.7	2532	2020	1.2535	2.17s
1000	50	3	0.5	0.5	2339	2020	1.1579	2.23s
1000	50	3	0.7	0.2	2512	2020	1.2436	2.2s
1000	50	3	0.9	0.1	2481	2020	1.2282	2.31s
1000	50	10	0.2	0.7	2583	2020	1.2787	2.53s
1000	50	10	0.5	0.5	2277	2020	1.1272	2.89s
1000	50	10	0.7	0.2	2341	2020	1.1589	2.48s
1000	50	10	0.9	0.1	2424	2020	1.2	2.55s
1000	50	20	0.2	0.7	2317	2020	1.147	2.88s
1000	50	20	0.5	0.5	2399	2020	1.1876	2.88s
1000	50	20	0.7	0.2	2528	2020	1.2515	2.85s
1000	50	20	0.9	0.1	2542	2020	1.2584	3.0s
1000	100	3	0.2	0.7	2290	2020	1.1337	4.22s
1000	100	3	0.5	0.5	2386	2020	1.1812	4.28s
1000	100	3	0.7	0.2	2281	2020	1.1292	4.24s
1000	100	3	0.9	0.1	2613	2020	1.2936	4.39s
1000	100	10	0.2	0.7	2308	2020	1.1426	4.73s
1000	100	10	0.5	0.5	2596	2020	1.2851	4.85s
1000	100	10	0.7	0.2	2461	2020	1.2183	4.77s
1000	100	10	0.9	0.1	2509	2020	1.2421	4.96s
1000	100	20	0.2	0.7	2211	2020	1.0946	5.53s
1000	100	20	0.5	0.5	2273	2020	1.1252	5.57s
1000	100	20	0.7	0.2	2334	2020	1.1554	5.54s
1000	100	20	0.9	0.1	2524	2020	1.2495	5.73s
1000	250	3	0.2	0.7	2325	2020	1.151	10.28s
1000	250	3	0.5	0.5	2278	2020	1.1277	10.59s
1000	250	3	0.7	0.2	2438	2020	1.2069	10.47s
1000	250	3	0.9	0.1	2154	2020	1.0663	10.84s
1000	250	10	0.2	0.7	2496	2020	1.2356	11.72s
1000	250	10	0.5	0.5	2503	2020	1.2391	11.89s
1000	250	10	0.7	0.2	2265	2020	1.1213	11.79s
1000	250	10	0.9	0.1	2339	2020	1.1579	12.22s
1000	250	20	0.2	0.7	2171	2020	1.0748	13.78s
1000	250	20	0.5	0.5	2385	2020	1.1807	13.96s
1000	250	20	0.7	0.2	2193	2020	1.0856	13.74s
1000	250	20	0.9	0.1	2328	2020	1.1525	14.07s
1000	500	3	0.2	0.7	2540	2020	1.2574	20.35s
1000	500	3	0.5	0.5	2159	2020	1.0688	20.92s
1000	500	3	0.7	0.2	2651	2020	1.3124	20.53s
1000	500	3	0.9	0.1	2155	2020	1.0668	21.78s
1000	500	10	0.2	0.7	2226	2020	1.102	23.4s
1000	500	10	0.5	0.5	2277	2020	1.1272	23.59s
1000	500	10	0.7	0.2	2349	2020	1.1629	23.52s
1000	500	10	0.9	0.1	2387	2020	1.1817	24.4s
1000	500	20	0.2	0.7	2211	2020	1.0946	27.35s
1000	500	20	0.5	0.5	2281	2020	1.1292	27.68s
1000	500	20	0.7	0.2	2336	2020	1.1564	27.49s
1000	500	20	0.9	0.1	2585	2020	1.2797	28.45s
