beta,alpha,nAnts,evap,time,best_sol,score
3,1,5,0.04,20.55735206604004,15916,2.6049099836333878
3,1,20,0.04,30.699524641037,13062,2.13780687397709
3,1,40,0.04,30.411256313323975,17390,2.8461538461538463
3,1,60,0.04,30.40890908241272,26823,4.3900163666121115
3,1,80,0.04,31.090739488601685,30686,5.022258592471358
3,1,100,0.04,31.217658758163452,33592,5.497872340425532
