beta,alpha,nAnts,evap,time,best_sol,score
4,1,100,0,37.77539849281311,13572,0.9431549687282835
4,1,100,0.02,40.51972055435181,13482,0.9369006254343294
4,1,100,0.04,39.47764849662781,13674,0.9502432244614315
4,1,100,0.06,37.95663905143738,13527,0.9400277970813065
4,1,100,0.08,38.613418102264404,13456,0.9350938151494093
